Dates,Prices
1-Sep-2017,2.98
1-Oct-2017,2.88
1-Nov-2017,3.01
1-Dec-2017,2.82
1-Jan-2018,3.87
1-Feb-2018,2.67
1-Mar-2018,2.69
1-Apr-2018,2.80
1-May-2018,2.80
1-Jun-2018,2.97
1-Jul-2018,2.83
1-Aug-2018,2.96
1-Sep-2018,3.00
1-Oct-2018,3.28
1-Nov-2018,4.09
1-Dec-2018,4.04
1-Jan-2019,3.11
1-Feb-2019,2.69
1-Mar-2019,2.95
1-Apr-2019,2.65
1-May-2019,2.64
1-Jun-2019,2.40
1-Jul-2019,2.37
1-Aug-2019,2.22
1-Sep-2019,2.56
1-Oct-2019,2.33
1-Nov-2019,2.65
1-Dec-2019,2.22
1-Jan-2020,2.02
1-Feb-2020,1.91
1-Mar-2020,1.79
1-Apr-2020,1.74
1-May-2020,1.75
1-Jun-2020,1.63
1-Jul-2020,1.77
1-Aug-2020,2.30
1-Sep-2020,1.92
1-Oct-2020,2.39
1-Nov-2020,2.61
1-Dec-2020,2.59
1-Jan-2021,2.71
1-Feb-2021,-
1-Mar-2021,-
1-Apr-2021,-
1-May-2021,-
1-Jun-2021,-
1-Jul-2021,-
1-Aug-2021,-
1-Sep-2021,-
1-Oct-2021,-
1-Nov-2021,-
1-Dec-2021,-
